Tamil,English
"புதுவருட பஞ்சாங்கம்,கோபுரம், பண்பாடு தகவல் இதழ்கள்; வெளியீடு.","Publication of New Year Panchangam, Gopuram, Panpadu Information Books"
"திணைக்களத் தகவல்களை உள்ளடக்கிய இதழான “கோபுரம்” முதலாவது, இரண்டாம் பதிப்பில் தலா3000 பிரதிகள் அச்சிடப்பட்டு விநியோகிக்கப்பட்டுள்ளன அத்துடன் திணைக்கள ஆய்வு இதழான “பண்பாடு” இதழின் முதலாவது, இரண்டாம் பதிப்பில் தலா 1000 பிரதிகள் அச்சிடப்பட்டு விநியோகிக்கப்பட்டுள்ளன.",3000 Copies of each1st and 2nd edition of “ Gopuram” which consists of information about the Department have been published and distributed and 1000 copies of each 1st and 2nd edition of “Panpadu” which is department research book have also been printed and distributed.
"“இந்துப் பஞ்சாங்கம்” 12,000 பிரதிகள் அச்சிடப்பட்டு பொதுமக்களுக்கும், ஆலயங்களுக்கும், இந்து நிறுவனங்களுக்கும் வழங்கப்பட்டன.","12,000 Copies of “Hindu Pnachangam” were published and provided to people, temples and Hindu Organizations"
அத்துடன் பிள்ளையார் கதை 4000 பிரதிகள் அச்சிடப்பட்டு பொதுமக்களுக்கு விநியோகிக்கப்பட்டது,4000 copies of Pillaiyaar Kathai was published and distributed.
வாசிப்பு மாதத்தினை முன்னிட்டு 15 வகையிலான நூல்கள் நாடு பூராகவுள்ள 150 பாடசாலை மற்றும் பொது நூலகங்களுக்கு விநியோகிக்கப்பட்டுள்ளன.,15 Kinds of books were distributed to 150 schools and public libraries in all Islands in order to celebrate the month of reading.
சமஸ்கிருத மொழி வகுப்புக்கள்,Sanskrit Language Classes
"மூன்று மாத கால சமஸ்கிருத மொழி வகுப்புக்கள் யாழ்ப்பாணத்திலும், கொழும்பிலும் ஆரம்பிக்கப்பட்டன.",3 Months Sanskrit classes started in Jaffna and Colombo.
இதில் கொழும்பில் 25 மாணவர்களுடன் 28 வகுப்புக்களும் யாழ்ப்பாணத்தில் 12 மாணவர்களுடன் 29 வகுப்புக்களும் நடைபெற்றுள்ளன.,28 classes with 25 students in Colombo and 29 classes with 12 students in Jaffna have been conducted.
"இதன் இறுதி நிகழ்வு, சான்றிதழ் வழங்கும் வைபவம் 21.06.2014 அன்று யாழ்ப்பாணம் குருகுலத்திலும் 29.06.2014 அன்று திணைக்கள கேட்போர் கூடத்திலும், திணைக்கள பணிப்பாளர் திருமதி சாந்தி நாவுக்கரசன் அவர்களின் தலைமையில் நடைபெற்றதுடன் பயிற்சி பெற்ற மாணவர்கள் சான்றிதழ்களைப் பெற்றுக் கொண்டனர்.","Certificates awarding ceremony was conducted under the chairmanship of Mrs.Shanthi Navukarasan, Director of the Department on 21.06.2014 at Gurukulam, Jaffna and on 20.06.2014 at Conference Hall of the Department, Colombo."
சைவசித்தாந்த வகுப்புக்கள்,Saiva Siththantha Classes
சைவசித்தாந்த ஆர்வலர்களுக்கென திணைக்களத்தினால் வகுப்புக்கள் ஒழுங்கு செய்யப்பட்டு நடத்தப்பட்டது.,Department arranged and conducted Saiva Siththantha Classes for the people who are interested in it.
"இந்த ஆண்டு சைவசித்தாந்த வகுப்புக்கள் 2014 ஏப்ரல் 04ம், 05 ம் திகதிகளில் திருகோணமலை, உவர்மலை விவேகானந்தா கல்லூரியில் இடம்பெற்றது.","It was conducted on 04th and 05th of April 2014 at Vivekananda College, Orr’s Hill, Trincomalee."
"இம்முறை பாடசாலை ஆசிரியர்கள், மாணவர்களின் வேண்டுகோளுக்கிணங்க பாடசாலைகளில் இந்து சமயம், இந்து நாகரீகம் கற்கும் மாணவர்களுக்கு இவ் வகுப்புக்கள் நடைபெற்றன.","As per the request of school teachers, and students, the classes were conducted for the students who learn Hindu Religion and Hinduism."
இதில் 350 ற்கும் மேற்பட்ட ஆசிரியர்கள் மற்றும் மாணவர்கள் கலந்து கொண்டு பயன்பெற்றனர்.,Over 350 teachers and students participated and benefitted.
ஆராய்ச்சிக் கூட்டங்களும் கலந்துரையடல்களும்,Research meetings and Discussions
"இந்துக் கலைக்களஞ்சிய 12 ம் தொகுப்பு மற்றும் அரிய நூல் பதிப்பு தொடர்பாக, ஆலோசனைக் குழு இதுவரையில் 08 கலந்துரையாடற் கூட்டங்களை நடத்தியுள்ளது.",08 Discissions were conducted by the Advisory Committee relating 12th compilation of Hindu Encyclopedia and printing of rare books.
சிற்பக்கலை மற்றும் கட்டடக்கலை தொடர்பான கருத்தரங்கு.,Seminar on Sculpture and Architecture
"ஆலயங்களின் கட்டட மற்றும் சிற்பக் கலை தொடர்பான வதிவிடக் கருத்தரங்கு யூலை 01,02 ஆம் திகதிகளில் வவுனியாவிலும், 03,04 ஆம் திகதிகளில் கிளிநொச்சியிலும் 05,06 ஆம் திகதிகளில் முல்லைத்தீவிலுமாக மூன்று கட்டங்களாக நடைபெற்றன.",Residential seminar on Sculpture and Architecture were conducted in 3 stages 1st and 2nd of July in Vavuniya 03rd and 04th of July in Kilinochchiand 06th and 07th of July in Mullaitivu.
"இதன்போது உயர்தர வகுப்பு மாணவர்கள், ஆசிரியர்கள் உட்பட வவுனியாவில் 250 பேரும், கிளிநொச்சியில் 175 பேரும், முல்லைத்தீவில் 175 பேரும் கலந்து கொண்டு பயன் பெற்றனர்.","250 public in Vavuniya, 175 public in Kilinochchi and 175 public in Mullaitivu including A/L students and teachers participated in these seminars."
அரச பாடசாலைகளில் இந்து சமயம் கற்பிக்கும் ஆசிரியர்களுக்கான கருத்தரங்கு.,Seminars to Government School Teachers who Teach Hindu Religion
"அரச பாடசாலைகளில் இந்துசமய பாடம் கற்பிக்கும் ஆசிரியருக்கான கருத்தரங்கு திணைக்கள கேட்போர் கூடத்தில் 15.09.2014 ஆம் திகதி தொடக்கம் 17.09.2014 ஆம் திகதி வரை நடைபெற்றது. இதில் இரத்தினபுரி, காலி, கேகாலை, மாத்தறை, கொழும்பு மற்றும் களுத்துறை மாவட்டங்களைச் சேர்ந்த 80 ஆசிரியர்கள் கலந்து கொண்டு பயன் பெற்றனர்.","80 Government school teachers who are engaged in teaching Hindu religion benefitted by the seminar conducted from 15.09.2014 to 17.09.2014 in Ratnapura, Galle, Kegalle, Matara, Colombo and Kaluthara Districts."
பிரசித்தி பெற்ற கோவில்களின் கையேடு மற்றும் இந்து ஆலயங்களுக்கான வழிகாட்டி நூல்,Manual for Famous Temples and Guideline Books for Hindu Temples
"இலங்கையின் பிரசித்தி பெற்ற இந்துக் கோவில்களின் வரலாற்றுச் சிறப்புக்களையும் விளக்கும் ஒரு கையேட்டினை வெளிநாட்டு, உள்நாட்டு பக்தர்களின் நலன் கருதி வெளியிடத் தீர்மானிக்கப்பட்டுள்ளது.",It has been decided to publish a manual consisting historical specialities of famous Hindu temples in Sri Lanka for the benefits of local and foreign devotees.
"இதுவரையில் கையேட்டில் அடங்கும் ஆலயங்களில், யாழ்ப்பாணம், முல்லைத்தீவு, மட்டக்களப்பு, அம்பாறை, திருகோணமலை ஆகிய மாவட்டங்களின் ஆலயங்களும், மேலதிகமாக 76 ஆலயங்களும் தெரிவு செய்யப்பட்டு கட்டுரைகள் எழுதப்படுகின்றன.","The temples in Jaffna, Mullaitivu, Batticaloa, Ampara, Trincomalee and further 76 temples have been selected and started to write essays until now."
அத்துடன் யாழ்ப்பாணத்திலுள்ள பிரசித்தி பெற்ற 10 ஆலயங்களின் புகைப்படங்கள் எடுக்கப்பட்டுள்ளன.,"Further, photographs of 10 famous temples in Jaffna have also been taken."
ஈழத்து தமிழ்ச் சொல் அகராதி,Dictionary for Tamil Words used in Eelam
இலங்கைத் தமிழ் மக்களின் வழக்கிலுள்ள தமிழ்ச் சொற்களை ஒன்று திரட்டி ஓர் அகராதியினை உருவாக்கும் நோக்கில் இத் திட்டம் நடைமுறைப்படுத்தப்படுகின்றது.,This program is implemented to prepare a dictionary gathering Tamil words used by Sri Lankan Tamils.
"இதனடிப்படையில், இதுவரையில் கணினியில் 1300 சொற்கள் பதிக்கப்பட்டு 1வது பிரதி அச்சுப்பதிப்பிற்கு வழங்கப்பட்டுள்ளது.","On this basis, 1300 words have been arranged in electronic version and provided for the 1st printing."
இந்து-தமிழ்க் கலை கலாசார முன்னிறுத்துகை,Promotion of Hindu-Tamil Arts & Culture
இலங்கை எழுத்தாளர்களிடமிருந்து நூல்களைக் கொள்வனவு செய்தல்,Purchasing of Books from Sri Lankan Writers.
இலங்கைத் தமிழ் எழுத்தாளர்களை ஊக்குவிக்கும் முகமாக இதுவரையில் 70 எழுத்தாளர்களிடமிருந்து மொத்தமாக 1825 நூல்கள் கொள்வனவு செய்யப்பட்டு பிரதான நூலகங்களுக்கு விநியோகிக்கப்படுகின்றன.,1825 books have been purchased from 70 writers and being distributed for encouraging Tamil writers in Sri Lanka.
நாட்டுப்புக்கலை முன்னிறுத்துகை,Promotion of Falk Arts
"தமிழ்க் கலைகளை ஊக்குவிக்கும் செயற்றிட்டத்தின் கீழ் நாட்டுப்புறத்தமிழ்க் கலைகள் தொடர்பான பயிற்சிப்பட்டறை ஒக்டோபர் மாதம் 10, 11, 12 ஆம் திகதிகளில் மட்டக்களப்பு நாவற்குடா இந்துகலாசார மண்டபத்தில் நடைபெற்றது.","Under the project to promote Tamil arts, seminar on falk Tamil arts was conducted on 10th, 11th and 12th October at Navatkuda Hindu Culture Hall, Batticaloa."
"இக் கருத்தரங்கில் யாழ்ப்பாணம், மட்டக்களப்பு, அம்பாறை, மலையகம் ஆகிய இடங்களைச் சேர்ந்த 150 கலைஞர்கள் கலந்து கொண்டு பயன் பெற்றனர்.","Around 150 artists from Jaffna, Batticaloa, Ampara and Up Country participated."
"""கலாபூஷண"" விருது",“Kalabhushana” Award
கலை கலாசார ரீதியாக அளப்பரிய சேவைகள் ஆற்றிய கலைஞர்களுக்கு வருடம்தோரும் கலாசாரத் திணைக்களத்தின் மூலம் அரசின் உயர் விருதான கலாபூஷணம் விருது வழங்கப்பட்டு வருகின்றது.,The great award Kalabhushana viruthu is awarded by the Department every year to the artists who have rendered yeoman service to the arts and culture.
அதனடிப்படையில் இவ் விருதைப் பெறுவதற்கு தகுதியான 100 தமிழ்க் கலைஞர்கள் திணைக்களம் நியமித்த மதிப்பீட்டு குழு மூலம் தெரிவு செய்யப்பட்டனர்.,"This year, 100 eligible Tamil artists were selected to receive this award by the Evaluation Committee which was appointed by the Department."
மார்கழி மாதம் 14 ஆம்  திகதி பண்டாரநாயக்க சர்வதேச மாநாட்டு மண்டபத்தில் நடைபெற்ற இவ் கலாபூஷனம் விருது வழங்கும் வைபவத்தில் சிங்களக் கலைஞரகள் 278 பேருக்கும் தமிழ்க் கலைஞர்கள் 100 பேருக்கும் முஸ்லீம் கலைஞர்கள் 78 பேருக்குமாக மொத்தமாக 456  கலைஞர்கள் விருதுகள் வழங்கி கௌரவிக்கப்பட்டது.,"456 Artists consists of 278 Sinhala artists, 100 Tamil artists and 78 Muslim artists were awarded in this ceremony which was held on 14th December 2014 at Bandaranayake Memorial International Conference Hall."
சுமார் 1000 கலை ஆர்வலர்கள் கலந்து கொண்டு சிறப்பித்திருந்தனர்.,Nearly 1000 interested public participated.
இந்து ஆலயங்கள் மற்றும் நிறுவனங்களின் அபிவிருத்தி,Development of Hindu Temples and Institutions
மூலதன செலவினத்தின் கீழ் ஆலயங்களுக்கான நிதியுதவி,Financial Assistance to the Temples under Capital Expenditure
இந்து ஆலயங்களுக்கான புனரமைப்பு (வடக்கு கிழக்கு),Rehabilitation of Hindu Temples (North East)
"வடக்கு, கிழக்கு மாகாணங்களிலுள்ள இந்து ஆலயங்களின் புனரமைப்பிற்கென அவ் மாகாணங்களிலுள்ள 363 இந்து ஆலயங்களுக்கு பிரதேச செயலாளரினூடாக தலா ஒரு லட்சம் ரூபா வீதம் நிதியுதவிக் காசோலைகள் வழங்கப்பட்டுள்ளன.",Cheques valued Rupees one lakh for each temple were provided to 363 Hindu temples through Divisional Secretaries for the rehabilitation in Northern and Eastern Provinces
மாவட்டம்,District
ஆலயங்களின் எண்ணிக்கை,No.of Temples
யாழ்ப்பாணம்,Jaffna
மட்டக்களப்பு,Batticaloa
அம்பாறை,Ampara
திருகோணமலை,Trincomalee
வவுனியா,Vaviniya
மன்னார்,Mannar
மொத்தம்,Total
"ஸ்ரீ பத்திரகாளி அம்மன் ஆலயம், தன்னாமுனை, மட்டக்களப்பு","Sri Paththira Kaali Amman Temple, Thannamunai, Batticaloa"
"ஸ்ரீ புவனேஸ்வரி அம்பாள் ஆலயம், தெல்லிப்பளை","Sri Buvaneswary Ampal Temple, Thellipalai"
"ஸ்ரீமன் நாராயணன் ஆலயம், அம்பாறை","Sriman Naarayanan Temple, Ampara"
"சித்தி விநாயகர் ஆலயம், பூநகரி","Siththi Vinayakar Temple, Poonagary"
"இந்து ஆலயற்கள், நிறுவனங்களின் புனரமைப்பு",Rehabilitation of Hindu Temples and Institutions
மாவட்டம்,District
ஆலயங்களின் எண்ணிக்கை,No.of Temples
பதுளை,Badulla
கொழும்பு,Colombo
காலி,Galle
களுத்துறை,Kaluthara
கண்டி,Kandy
குருணாகல்,Kurunagala
மாத்தளை,Matale
மாத்தறை,Matara
நுவரெலியா,Nuwara Eliya
இரத்தினபுரி,Ratnapura
மொத்தம்,Total
தேசத்திற்கு மகுடம் திட்டத்தின் கீழ்,Under the Deyata Kirula Programme
குருணாகல்,Kurunagala
புத்தளம்,Puttalam
மொத்தம்,Total
"ஸ்ரீ கதிர்வேலாயுத சுவாமி கோயில், ரொக்கதன்ன எஸ்ரேட், ஆலி எல","Sri Kathirvelautha Swamy Temple, Rokkanthanai Estate, Hali Ela"
"ஸ்ரீ கற்பகப் பிள்ளையார் கோயில், தெல்பெத்த , பதுளை","Sri Katpakappillaiyar Temple, Thelpethatha, Badulla"
"ஸ்ரீ சுப்பிரமணியர் சுவாமி கோயில், ரெவன் சூட் டிவிசன், பள்ளகெட்டுவ, பதுளை","Sri Subramaniya Swamy Temple, Rewon shoot Division Pallakedduwa, Badulla"
தேசத்திற்கு மகுடம் கண்காட்சியை முன்னிட்டு ஆலய புனரமைப்பிற்கான நிதியுதவி,Financial Assistance for the Rehabilitation of Temples in order to Deyata Kirula Exhibition
"இவ் ஆண்டுக்கான“தேசத்திற்கு மகுடம்” கண்காட்சியை  முன்னிட்டு  புத்தளம், கேகாலை மாவட்டங்களைச் சேர்ந்த 30 இந்து ஆலயங்களின் புனரமைப்பிற்கென மாவட்டச் செயலாளர் ஊடாக ஒதுக்கப்பட்டநிதியுதவியில்  28 ஆலயங்களுக்கான செலவு மேற்கொள்ளப்பட்டுள்ளது.",Financial assistance was provided through District Secretaries for the rehabilitation of 30 temples in Puttalam & Kegalle Districts for Deyata Kirula Exhibition and expenditure was made for 28 temples.
மாவட்டம்,District
ஆலயங்களின் எண்ணிக்கை,No.of Temples
கேகாலை,Kegalle
புத்தளம்,Puttalam
மொத்தம்,Total
வடக்கின் வசந்தம் நிகழ்ச்சித் திட்டத்தின் கீழ் ஆலயப் புனரமைப்பிற்கென நிதியுதவி,Financial Assistance for the Rehabilitation of Temples under “Vadakkin Vasantham”
வடக்கின் வசந்தம் நிகழ்ச்சித் திட்டத்தின் கீழ் இந்து ஆலய புனரமைப்பிற்கென தலா ரூ 2 லட்சம் வீதம் பிரதேச செயலாளர் ஊடாக 100 ஆலயங்களுக்காக காசோலைகள் வழங்கப்பட்டுள்ளன.,100 Temples received cheques valued 2 Lakh per each through Divisional Secretaries for the rehabilitation of Hindu Temples under the Vadakkin Vasantham Programme.
மாவட்டம்,District
ஆலயங்களின் எண்ணிக்கை,No.of Temples
கிளிநொச்சி,Kilinochchi
முல்லைத்தீவு,Mullaitivu
மன்னார்,Mannar
யாழ்ப்பாணம்,Jaffna
வவுனியா,Vaviniya
மொத்தம்,Total
"சித்திரமேனி வைரவர் ஆலயம், யாழ்ப்பாணம்","Chithrameny Vairavar Temple, Jaffna"
"செல்வ விநாயகர் ஆலயம், ஒலுமடு, மாங்குளம்","Selvavinayakar temple, Olumadu, Mankulam"
துர்க்கா பரமேஸ்வரி நயினை நாகம்மாள் ஆலயம் திருமுறிகண்டி,"Dhurkka Parameswary Najinai Naagammal Temple, Thirumurikandy"
"ஸ்ரீ சப்த கன்னிமார் ஆலயம், வட்டுவாகல், முல்லைத்தீவு","Sri Saptha Kanny Temple, Vadduvagal, Mullaitivu"
இந்து ஆலயங்களுக்கான உட்கட்டமைப்புக்கான முன்னிறுத்துகை,Promotion of infrastructure for Hindu Temples
79 இந்து ஆலயங்களுக்கு பிரதேச செயலாளர்களினூடாக காசோலைகள் வழங்கப்பட்டுள்ளன.,79 Hindu Temples have been received Financial Assistance by cheques through Divisional Secretaries.
மாவட்டம்,District
ஆலயங்களின் எண்ணிக்கை,No.of temples
கிளிநொச்சி,Kilinochchi
புத்தளம்,Puttalam
அம்பாறை,Ampara
மட்டக்களப்பு,Batticaloa
யாழ்ப்பாணம்,Jaffna
மன்னார்,Mannar
திருகோணமலை,Trincomalee
வவுனியா,Vavuniya
மொனராகலை,Moneragala
பொலன்னறுவை,Polonnaruwa
கண்டி,Kanda
இரத்தினபுரி,Ratnapura
கொழும்பு,Colombo
மொத்தம்,Total
"ஸ்ரீ மாணிக்கப்பிள்ளையார் ஆலய தீர்த்தக் கிணறு, கிரான், மட்டக்களப்பு","Holy Well of Sri Maanikka Pillaiyar Temple, Kiran, Batticaloa"
"ஸ்ரீ முத்துமாரி அம்மன் ஆலயத் தண்ணீர்த் தொட்டி, பரப்புக்கடந்தான், மன்னார்","Water Tank of Sri Muthumaariyamman Temple, Parappukadanthan, Mannar"
"ஈழத்து காசி ஷேத்திரத்தின் தண்ணீர்த் தாங்கி, கிளிநொச்சி","Water Tank of Eelam Kasi Shesthiram, Kilinochchi"
மீண்டுவரும் செலவீனத்தின் கீழ் இந்து ஆலயங்களுக்கான நிதியுதவி,Financial Assistance for Hindu Temples under Recurrent Expenditure
இந்து ஆலயங்களின் கும்பாபிஷேக வைபவத்திற்கென நிதியுதவியளிக்கும் செயற்பாட்டின் கீழ் 13 இந்து ஆலயங்களுக்கு நிதியுதவி வழங்கப்பட்புள்ளது.,"Financial Assistance provided to 13 Hindu temples under the occasion of providing funds for “Kumbabisekam"""
மாவட்டம்,District
ஆலயங்களின் எண்ணிக்கை,No.of Temples
யாழ்ப்பாணம்,Jaffna
பதுளை,Badulla
நுவரெலியா,Nuwara Eliya
புத்தளம்,Puttalam
கேகாலை,Kegalle
முல்லைத்தீவு,Mullaitivu
மன்னார்,Mannar
கண்டி,Kandy
இரத்தினபுரி,Ratnapura
அம்பாறை,Ampara
கொழும்பு,Colombo
மொத்தம்,Total
"ஸ்ரீ முத்துமாரியம்மன் ஆலய கும்பாபிஷேக வைபவம், பூண்டுலோயா","Sri Muthumariyamman Temple Kumbhabisheka Festival, Poondulooya"
"திமிலை கண்ணகி அம்மன் ஆலய கும்பாபிஷேக வைபவம், சிலாபம்","Thimilai Kannaki Amman Temple Kumbhabisheka Festival, Chillaw"
இந்து சிறுவர் மற்றும் முதியோர் இல்லங்களுக்கான நிதியுதவி,Financial Assistance for Homes for Children and Elders
"இந்துச்சிறுவர் மற்றும் முதியோர் இல்லங்களை பராமரிக்கும் நிறுவனங்களின் பணிகளை ஊக்குவிக்கும் வகையில் வருடந்தோறும் வழங்கப்படும் நிதியுதவித் திட்டத்தின் கீழ், இவ்வாண்டு பின்வரும் மாவட்டங்களிலிருந்து தெரிவு செய்யப்பட்ட முதியோர் மற்றும் சிறுவர் இல்லங்களுக்கு நிதியுதவி வழங்கப்பட்டுள்ளது.","To encourage the organizations which maintain the homes for children and elders, financial assistance is granted annually, following districts were provided financial assistance this year."
"அன்பு சிறுவர் இல்லம், முத்தையன்கட்டு","Anpu Children Home, Muththaiyankaddu"
"பாரதி சிறுவர் இல்லம், முல்லைத்தீவு","Bharathy Children Home, Mullaitivu"
இந்து நிறுவனங்களுக்கான நிதியுதவி,Financial Assistance to Hindu Organizations
இந்து சமய நிறுவனங்களின் புனரமைப்புக்காக நிதியுதவி அளிக்கும்செயற்பாட்டின் கீழ் இவ்வாண்டு மட்டக்களப்பு களுவாஞ்சிக்குடி பகவான் ஸ்ரீ சத்தியசாயி சேவா நிலையக் கட்டட திருத்த வேலைக்காகவும் மற்றும் அம்பாறையிலிருந்து கதிர்காமம் வரையிலான பாத யாத்திரைக்காகவும் நிதியுதவி வழங்கப்பட்டுள்ளன.,"Under the programme of providing financial assistance for the rehabilitation of Hindu Religious Organizations, fund was granted for the repairs of Bahavan Sri Sthya Saibava building and pilgrimage from Ampara to Kathiragama."
நந்திக் கொடிகள் வெளியிடல் மற்றும் விநியோகமும்.,Publication and Distribution of Nandhi Flag
வருடந்தோறும் திணைக்களத்தின் மூலம் இந்து ஆலயங்கள் மற்றும் இந்து சமய நிறுவனங்களுக்கு நந்திக் கொடிகள் அச்சிட்டு விநியோகிக்கப்படுகின்றன.,Nandhi flag is printed and issued to Hindu temples and other religious organizations by this Department annually.
அதனடிப்படையில் இவ்வாண்டு அச்சிடப்பட்டு விநியோகிக்கப்பட்டுள்ள நந்திக் கொடிகளின் விபரங்கள் பின்வருமாறு:,The published and distributed Nandhi flag details are as follows.
நந்திக் கொடிகளின் விபரங்கள்,Details of Nanthi Flags
கொடிகளின் மொத்த எண்ணிக்கை,No.of total flags
அச்சிடப்பட்டுள்ள கொடிகளின் எண்ணிக்கை,No.of published flags
விநியோகிக்கப் பட்ட கொடிகளின் எண்ணிக்கை,No.of distributed flags
பெரிய கொடிகள்,Large Flags
சிறிய கொடிகள்,Small Flags
(குஞ்சம் வைக்கப்பட்டவை),(Tasseled Flags)
சிறிய கொடிகள்,Small Flags
(முக்கோண வடிவம்),(Triangle shape;)
தொங்கும் கொடிகள்,Hanging Flags
(இரு நந்திகள் உள்ளவை),(Consists two Nanthies)
மொத்தம்,Total
இந்து சமய ஆலயங்களின் பரிபாலனத்திற்கான வழிகாட்டிக் கைநூல்,Guideline Book for Administration of Hindu Temples
இந்து ஆலயங்களின் பரிபாலனம் தொடர்பான சாதக பாதக நிலைமைகளைக் கருத்திற் கொண்டு ஆலயங்களை உரிய முறையில் பரிபாலனம் செய்து கொள்வதற்காக பொதுவான நியமனக் கோவைகளை உள்ளடக்கிய வழிகாட்டிக் கைநூல் 2014 ஆம் ஆண்டில் இத்திணைக்களத்தினால் வெளியிடப்பட்டுள்ளது.,Department published a guideline book consists of common appointment files in 2014 to administrate the Hindu Temples considering its good and bad conditions of the administration.
"இந் நூலில் காட்டப்பட்டுள்ள  நியமங்களை முறையாகப் பின்பற்றும் போது ஆலயங்களில் பரிபாலனம், குறித்த ஒரு வரைமுறைக்குள் சீரமைக்கப்படும் எனவும் ஆலய நிர்வாக சபை ஆலயமொன்று அமைக்கப்பட்ட நோக்கத்தைக் கருத்திற் கொண்டு இந் நியமங்களைக் முறையாகப் பின்பற்ற வேண்டும் எனவும் இத் திணைக்களம் எதிர்பார்க்கின்றது.",Department expects to follow the regulations perfectly as administration of the Hindu temples will be regularized in a limit and to achieve the purpose of appointing Temple Administrative Board.
"இற்துசமய, கலாசார அலுவல்கள் திணைக்களம்",Department of Hindu Religious and Cultural Affairs
நிதி முன்னேற்ற நிலைமை 2014,Division wise financial progress 2014
இந்து அறநெறிப் பாடசாலைகளின் அபிவிருத்தி,Development of Hindu Aranery Schools
இந்துசமய மேம்பாடு,Promotion of Hindu Religion
இந்து சமய ஆராய்ச்சி,Research on Hindu Religion
இந்துக் தமிழ்க் கலைக் கலாசார மேம்பாடு,Promotion of Hindu Tamil Art and Culture
இந்து ஆலயங்கள் மற்றும் நிறுவனங்களின் அபிவிருத்தி,Development of Hindu Temples and Organizations
மொத்தம்,Total
"திணைக்களத்தில் பதிவு செய்யப்பட்டுள்ள இந்து ஆலயங்கள், இந்துசமய நிறுவனங்கள், இந்து அறநெறிசப் பாடசாலைகள்","Registered Temples, Hindu Religious Organizations and Hindu Aranery Schools in the Department"
(2014 டிசம்பர் 31 ஆம் திகதி வரை),(Up to 2014 December 31)
மாவட்டம்,District
இந்து ஆலயங்கள் மற்றும் நிறுவனங்கள்,No.of Temples and Organizations
இந்து அறநெறிப் பாடசாலை,No.of Schools
ஆலயங்கள்,Temples
நிறுவனங்கள்,Organization
பாடசாலைகள்,Schools
ஆசிரியர்கள்,Teachers
மாணவர்கள்,Students
பதவி,Designation
தற்போதுள்ள ஆளணி,Present cadre
வெற்றிடம்,vacant
பணிப்பாளர்,Director
பிரதிப் பணிப்பாளர்,Deputy Director
கணக்காளர்,Accountant
உதவிப்பணிப்பாளர்,Assistant Director
உதவிப்பணிப்பாளர்,Assistant Director
நிர்வாக உத்தியோகத்தர்,Administrative Officer
நூலகர்,Librarian
ஆராய்ச்சி அலுவலர்,Research Officer
அபிவிருத்தி உதவியாளர்,Development Assistant
அபிவிருத்தி உத்தியோகத்தர்,Development Officer
கலாசார உத்தியோகத்தர்,Cultural Officer
அரச முகாமைத்துவ உதவியாளர்,Public Management Assistant
இந்து யாத்திரிகர் விடுதி முகாமையாளர்,Manager for Hindu Pilgrimage Guest House
இந்து யாத்திரிகர் விடுதி உதவி முகாமையாளர்,Assistant Manager for Hindu Pilgrimage Guest House
சாரதி,Driver
இந்து கலாசார உதவியாளர்,Hindu Cultural Assistant
தரவு நிரற்படுத்துனர்,Data Entry Operator
கலாசார சேவையாளர்,Cultural Sevakka
அலுவலகப் பணியாளர்,Office Assistant
பாதுகாப்பு அலுவலர்,Security Officer
காவலாளி,Security
அறை பராமரிப்பாளர்,Maintenance Officer
*ஓப்பந்த அடிப்படை,*Contract basis
இந்துப் பண்பாட்டு நிதியம்,Hindu Cultural Fund
2014ஆம் ஆண்டிற்கான செயற்றிட்ட அறிக்கை,Performance Report for the year 2014
அறிமுகம்,Introduction
இந்துப்பண்பாட்டு நிதியம் 1985ஆம் ஆண்டின் 31ஆம் இலக்க சட்டத்தின் மூலம் இந்துசமய கலாசார விடயங்களைச் சுதந்திரமாக முன்னெடுப்பதற்கென ஆரம்பிக்கப்பட்டது.,Fund for Hindu Tradition was established in 1985 by the 31st Act to perform Hindu Religious & Cultural activities independently.
இதில் 3 உத்தியோகபூர்வ அங்கத்தவர்களும் கௌரவ. அமைச்சரால் 5 பேரும் அங்கத்தவராக நியமிக்கப்படுவர்.,03 Official members and 05 members appointed by Hon Minister will be appointmented as members for this fund.
2014 ஆம் ஆண்டு பின்வருவோர் இந்நிதியத்தின் அங்கத்தவர்களாக உள்ளனர்,The following members are the members for 2014.
தலைவர்.,President
"செயலாளர்,  புத்தசாசன, மத அலுவல்கள் அமைச்சு","Secretary,Ministry of Buddhasasana and Religious Affairs"
பிரதம நிர்வாக உத்தியோகத்தர்,Chief Administrative Officer
"பணிப்பாளர், இந்துசமய கலாசார அலுவல்கள் திணைக்களம்","Director,Department of Hindu Religious and Cultural Affairs"
கணக்காளர்,Accountant
"கணக்காளர், இந்துசமய கலாசார அலுவல்கள் திணைக்களம்","Accountant, Department of Hindu Religious and Cultural Affairs"
உறுப்பினர்கள்,Members
"உதவிப் பணிப்பாளர், இந்து சமய கலாசார அலுவல்கள் திணைக்களம்.","Assistant Director, Department of Hindu Religious and Cultural Affairs"
நிதி நிலை,Financial Status
"முன்னேற்றம், 2014.01.01 திகதி முதல் 2014.12.31 வரை","Progress, from 2014.01.01 to 2014.12.31"
நிதி முன்னேற்றம்,Financial Progress
பௌதீக முன்னேற்றம்,Physical Progress
அறநெறிப் பாடசாலைக்கான (பொலன்னறுவை) மற்றும் ஊற்றடிப் பிள்ளையார் கோவில் கட்டட நிதியுதவி,Financial Assistance for Aranery School (Polonnaruwa) and Building for Oottady Pilliyar
